Depth; Mean; Variance; Standard deviation
5; 27.11250655356588; 0.5476857593587509; 0.7400579432441428
15; 27.03993716170805; 0.5373139832493482; 0.7330170415818095
25; 26.84029407042512; 0.4821577178820572; 0.6943757757022182
35; 26.48182443501643; 0.3652256417414011; 0.6043390122616618
45; 25.96732721296131; 0.2441088972320103; 0.4940737771143196
55; 25.31709901569217; 0.1496946378382129; 0.3869039129269862
65; 24.56975614817752; 0.0951665899098514; 0.3084908262977222
75; 23.73544411402076; 0.0718090781810706; 0.2679721593394930
85; 22.83602555384061; 0.0627572831439539; 0.2505140378181509
95; 21.92278382624695; 0.0628753052124298; 0.2507494869634433
105; 20.87278935279349; 0.0794405080409788; 0.2818519257357999
115; 19.95056975235749; 0.0779852228317582; 0.2792583442473264
125; 19.08908719596788; 0.0694392296677286; 0.2635132438184628
135; 18.30714756773401; 0.0577132054374724; 0.2402357288945016
145; 17.61300266303936; 0.0462526987244731; 0.2150644059914916
155; 16.99729512782661; 0.0365353727850427; 0.1911422841368249
165; 16.45414063891477; 0.0300029379191761; 0.1732135615913955
175; 15.97000871473394; 0.0251827300456243; 0.1586906740978319
185; 15.54376712077133; 0.0214443733671179; 0.1464389748909693
195; 15.16498681087736; 0.0188419278727541; 0.1372659020760587
205; 14.82257698705703; 0.0169301382856726; 0.1301158648500354
215; 14.51234226885430; 0.0156999296340625; 0.1252993600704432
225; 14.22235575155881; 0.0148140654231499; 0.1217130454107117
