country,year,area_square_kilometres,total_population,population_density_pers_per_sq_km,population_aged_0_14_male,population_aged_0_14_female,population_aged_15_64_male,population_aged_15_64_female,population_aged_64_male,population_aged_64_female,total_population_male,total_population_female,life_expectancy_at_birth_women,life_expectancy_at_birth_men,life_expectancy_at_age_65_women,life_expectancy_at_age_65_men,total_fertility_rate,adolescent_fertility_rate,mean_age_of_women_at_birth_of_first_child,computer_use_16_24_male,computer_use_16_24_female,computer_use_25_54_male,computer_use_25_54_female,computer_use_55_74_male,computer_use_55_74_female,women_in_the_labour_force_percent_of_corresponding_total_for_both_sexes,female_part_time_employment_percent_of_both_sexes,gender_pay_gap_in_monthly_earnings,gender_pay_gap_in_hourly_earning_wage_rate,female_tertiary_students_percent_of_total,women_researchers_percent_of_corresponding_total_for_both_sexes,female_legislators_senior_officials_and_managers_percent_of_total,female_professionals_percent_of_total_for_both_sexes,female_clerks_percent_of_total_for_both_sexes,female_craft_and_related_workers_percent_of_total_for_both_sexes,female_plant_and_machine_operators_and_assemblers_percent_of_total_for_both_sexes,female_government_ministers_percent_of_total,female_members_of_parliament_percent_of_total,female_ambassadors_percent_of_total,female_judges_percent_of_total,women_percent_of_all_victims_of_homicides,total_employment_growth_rate,unemployment_rate,youth_unemployment_rate,economic_acivity_rate_women_15_64,economic_activity_rate_men_15_64,gdp_at_current_prices_and_ppps_millions_of_us,gdp_at_current_prices_millions_of_ncus,gdp_per_capita_at_current_prices_and_ppps_us,gdp_per_capita_at_current_prices_ncus,final_consumption_expenditure_per_capita_us_dollars_current_ppps,purchasing_power_parity_ppp_ncu_per_us,exchange_rate_xr_ncu_per_us,consumer_price_index_growth_rate,export_of_goods_and_services_per_cent_of_gdp,import_of_goods_and_services_per_cent_of_gdp,external_balance_on_goods_and_services_per_cent_of_gdp,gdp_in_agriculture_isic4_a_output_approach_index_2005_100,gdp_in_industry_incl_construction_isic4_b_f_output_approach_index_2005_100,gdp_in_services_isic4_g_u_output_approach_index_2005_100,gdp_in_agriculture_etc_isic4_a_output_approach_per_cent_share_of_gva,gdp_in_industry_etc_isic4_b_e_output_approach_per_cent_share_of_gva,gdp_in_construction_isic4_f_output_approach_per_cent_share_of_gva,gdp_in_trade_hospitality_transport_and_communication_isic4_g_j_output_approach_per_cent_share_of_gva,gdp_in_finance_and_business_services_isic4_k_n_output_approach_per_cent_share_of_gva,gdp_in_public_administration_education_and_health_isic4_o_q_output_approach_per_cent_share_of_gva,gdp_in_other_service_activities_isic4_r_u_output_approach_per_cent_share_of_gva,employment_in_agriculture_hunting_forestry_and_fishing_isic_rev_4_a_share_of_total_employment,employment_in_industry_and_energy_isic_rev_4_b_e_share_of_total_employment,employment_in_construction_isic_rev_4_f_share_of_total_employment,employment_in_trade_hotels_restaurants_transport_and_communications_isic_rev_4_g_j_share_of_total_employment,employment_in_finance_real_estate_and_business_services_isic_rev_4_k_n_share_of_total_employment,employment_in_public_administration_education_and_health_isic_rev_4_o_q_share_of_total_employment,employment_in_other_service_activities_isic_rev_4_r_u_share_of_total_employment,persons_killed_in_road_accidents,persons_injured_in_road_accidents,total_length_of_motorways_km,total_length_of_railway_lines_km
Albania,2000,28748,3401198,118.31077,564851,529820,1029446,1086946,82588,107547,49.30278,50.69722,78.11,72.07,17.16,13.52,2.4,15.24086,,,,,,,,41.23149,,,,61.3549,,,,,,,,5.16129,,,,0.29953,16.8,,,,11975.49451,501199,3890.19371,162812.58324,3595.59866,41.85205,143.70942,0.04958,20.11528,43.33879,-23.22351,86.60708,60.547,80.00773,27.79084,9.13831,12.84876,27.66077,12.22813,9.19759,1.1356,,,,,,,,280,336,,400
Albania,2001,28748,3073734,106.91992,460732,436652,963612,980800,108254,123684,49.86111,50.13889,80.45,74.12,19.51,15.85,2.1,16.49547,,,,,,,,40.64015,,,,61.96395,,,,,,,16.66667,5.16129,,,,-13.81973,16.4,,55.69606,82.64509,13326.07246,563448.8,4354.68371,184123.3657,3868.50614,42.28169,143.48483,3.10842,21.33342,45.15763,-23.82421,88.93947,72.6648,86.16708,25.41113,8.60389,15.7104,26.90267,12.26481,9.81242,1.29468,,,,,,,,297,250,,409
Albania,2002,28748,3093465,107.60627,452373,427711,977294,995773,112546,127768,49.8539,50.1461,79.2,73.75,18.38,15.15,2.29,14.66575,,,,,,,,38.82784,,,,62.33945,,,,,,,10,5.71429,,,,-0.04617,15.8,,,,14315.31024,610494.3,4691.9906,200095.80434,4287.0615,42.64625,140.15452,5.51499,20.9456,47.57943,-26.63383,90.76066,77.37945,89.23623,24.77302,7.6952,18.29394,25.48632,12.45278,10.24306,1.05568,,,,,,,,250,228,,428
Albania,2003,28748,3111162,108.22186,442939,417968,991075,1010693,116714,131773,49.84401,50.15599,78.42,73.31,17.54,14.47,2,16.35957,,,,,,,,38.9348,,,,62.02931,,,,,,,,,,,,0.66087,15,,,,15381.49231,677737.5,5060.33396,222967.83809,4626.60886,44.06188,121.86325,2.63093,20.84741,46.17322,-25.32581,93.43226,87.92819,90.09128,24.99078,9.38804,17.96485,23.74124,12.36612,10.49342,1.05555,,,,,,,,264,248,,428
Albania,2004,28748,3127264,108.78197,433178,407988,1004398,1024845,120801,136054,49.83196,50.16804,78.93,73.72,17.8,14.91,1.79,14.46712,,,,,,,,39.33824,,,,60.27475,,,,,,,5.55556,5.71429,,,,0.53897,14.4,,,,16805.57156,737655.5,5552.00023,243696.76967,4908.81899,43.89351,102.78005,2.28066,22.21758,44.82965,-22.61207,99.32611,94.30338,94.25657,23.39562,10.25082,17.84737,24.22121,12.47036,10.41553,1.39908,,,,,,,,315,820,,428
Albania,2005,28748,3142065,109.29682,422474,397035,1017940,1038397,124902,141317,49.81807,50.18193,78.6,72.1,,,1.78,18.5609,24,,,,,,,39.63134,,,,58.42874,,,,,,,5.55556,6.42857,,,,0.09502,14.1,,,,18427.29118,804163.2,6118.99464,267031.66871,5383.28921,43.63979,99.87025,2.36659,23.01299,47.85934,-24.84635,100,100,100,21.54198,11.13595,17.53491,24.5315,13.01708,10.50352,1.73507,,,,,,,,307,875,,
Albania,2006,28748,3146813,109.46198,412338,382518,1034511,1043079,129029,145338,50.07854,49.92146,78,73.9,,,,17.65727,25,,,,,,,39.57565,,,,58.04428,,,,,,,6.25,7.14286,,,,0.31713,13.8,,,,20920.41394,872735.1,6990.83188,291635.92922,6162.44321,41.71691,98.10338,2.37052,25.20961,49.05747,-23.84787,103.11851,109.2021,104.79513,20.46267,11.18687,18.05762,24.36381,13.75663,10.45057,1.72183,,,,,,,,277,1065,2655,
Albania,2007,28748,3161337,109.9672,403781,371622,1050345,1051923,133370,150296,50.21597,49.78403,,,,,1.3,17.44751,25,,,,,,,43.40859,62.92393,,,56.26449,,20.46979,58.86119,43.89878,19.10479,17.84046,6.25,7.14286,,,,0.42158,13.36596,20.1,56.79693,73.84459,22695.24932,965527.8,7641.44663,325091.34619,7048.80481,42.54317,90.42789,2.9335,28.24788,54.95422,-26.70635,105.9195,114.11472,112.39243,19.68657,10.77218,18.30993,24.99166,13.99377,10.19289,2.053,,,,,,,,384,1344,2631,
Albania,2008,28748,3181950,110.68422,396600,365265,1061262,1065136,137664,156023,50.14303,49.85697,77.78,72.91,,,1.6,19.17428,25,,,,,,,44.83403,65.71711,14.66259,,56.48547,,23.74432,56.57854,43.06353,17.35593,11.73228,11.76471,7.14286,,,20.43011,-3.97146,13.05188,27.2,53.78168,65.63478,25845.27376,1080675.9,8769.10598,366665.16247,8196.71979,41.81329,83.8946,3.36076,29.58661,56.43098,-26.84437,113.40952,122.18234,117.93437,19.42054,10.77489,18.24678,24.72265,14.23963,10.47275,2.12277,,,,,,,,303,1256,,
Albania,2009,28748,3194417,111.11789,388901,358535,1069596,1077017,140550,159818,50.05755,49.94245,77.8,73.4,,,1.6,18.87153,25,,,,,,,43.89264,63.01883,11.4878,,55.65374,,22.46627,60.6051,43.59657,19.53214,1.17288,5.55556,,,42.47492,8.23529,0.95563,13.76226,27.2,54.47651,69.6781,27349.12136,1143936.5,9342.0784,390752.75318,8592.10551,41.82718,94.97812,2.27798,29.61699,53.80403,-24.18703,115.56931,124.19124,124.22798,19.40978,10.92773,17.28786,24.6669,13.74629,11.49792,2.46351,,,,,,,,378,1455,,
Albania,2010,28748,2856673,99.36945,326415,300715,956944,963741,147009,161849,50.07111,49.92889,79.3,74.7,,,,19.7697,25,,,,,,,43.5437,61.24605,,,55.39714,,19.09969,63.08317,40.82776,18.99643,8.59075,6.66667,16.42857,,41.02564,14.96063,-0.65479,14.03896,30.45733,60.94634,79.00805,27102.55102,1239644.6,9303.93578,425553.06864,8305.31925,45.73904,103.93644,3.55272,32.42437,52.99631,-20.57194,124.41008,127.26043,127.39258,20.65819,13.81806,14.87248,23.1384,13.04819,11.59097,2.8737,,,,,,,,352,1716,,
Albania,2011,28748,2829337,98.41857,310824,285517,956156,961509,150425,164906,50.09672,49.90328,79.8,75.3,,,1.58,21.02609,24,,,,,,,44.32095,54.41214,,,55.50209,,26.58819,58.26506,53.72483,22.75912,21.29573,6.66667,16.42857,,42.26519,12.67606,4.80279,13.97657,23.89579,60.92972,76.34006,28002.49963,1300624.1,9640.14474,447753.04842,8606.10383,46.44671,100.89495,3.44917,34.01369,56.74918,-22.73549,130.3482,130.24625,131.25876,20.95812,13.53275,14.62074,23.04076,13.2457,11.8345,2.76742,,,,,,,,322,2150,,
Albania,2012,28748,2801681,97.45655,296840,272276,952602,956214,154734,169015,50.11905,49.88095,79.7,75.5,,,1.78,21.41988,24,62.7,51.5,24.4,18.5,7.6,3.8,43.2407,52.75048,,,55.86809,,16.06985,62.06783,44.48552,20.18766,20.49855,7.14286,15.71429,,42.61838,16.66667,1.21868,13.35381,29.75717,56.3023,73.96967,30050.71584,1332811,10361.42258,459550.38359,9202.15549,44.35205,108.18464,2.0324,33.35165,51.98687,-18.63522,137.37744,121.72737,135.45294,21.66068,13.30748,13.14511,23.03595,14.19029,12.52777,2.13272,,,,,,,,334,2235,,
Albania,2013,28748,2896652,100.76012,294929,270837,999784,989842,163555,177705,50.34322,49.65678,80,76,,,1.8,20.44063,24.4,,,,,,,43.76746,52.03172,,,56.5479,,31.92632,57.62349,43.51192,22.187,32.75625,31.57895,,16.66667,44.10959,16.52893,-4.42319,15.93482,31.39299,52.71993,66.15829,30150.00506,1350052.6,10408.57717,466073.77488,9477.51919,44.77786,105.66867,1.93665,28.73775,46.95741,-18.21966,138.93678,122.70802,135.87002,22.42851,14.64403,11.7923,21.35707,14.83022,12.73188,2.21599,,,,,,,,,,1000,
Albania,2014,28748,2893654,100.65584,283527,260811,1007448,988932,169498,183438,50.47158,49.52842,80.3,76.4,18.6,16.7,1.8,21.90421,24.5,,,,,,,42.35392,51.12495,10.09567,,56.71195,,18.47199,60.009,45.3042,14.43274,35.72233,42.10526,20,24.4898,46.26039,8.95522,0.91864,17.48782,39.04893,52.7735,69.83418,32172.07495,1394419.3,11118.16389,481889.41303,10343.68734,43.34254,105.47923,1.63343,28.23092,47.22482,-18.9939,141.66265,117.28218,142.44339,22.92021,14.67156,9.97605,21.2895,15.72528,12.74179,2.6756,,,,,,,,,,,
Albania,2015,28748,2889167,100.49976,271516,250221,1014087,988171,175804,189368,50.5823,49.4177,,,,,,,,,,,,,,42.89236,47.53789,6.8758,,,,19.92836,63.57039,41.96453,13.83784,38.13133,42.10526,20.71429,24.39024,45.93838,21.21212,5.10971,17.0939,39.79611,55.86887,71.71495,32500.14865,1435751.2,11248.95685,496942.44368,,44.17676,125.96083,1.91047,,,,140.68498,127.83381,146.83607,22.13599,14.63457,10.81832,21.12439,15.9188,12.73059,2.63733,,,,,,,,,,,
Albania,2016,28748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.85714,,,,,,,,,,,,,,,124.14087,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,2000,29743,3221105,108.29792,406848,382516,1014608,1116093,122941,178099,47.94619,52.05381,75.83,70.44,15.81,14.35,1.31,31.5772,22.3,,,,,,,47.63682,,48.09641,48.09641,58.64384,,,,,,,,3.05344,,21.01449,,-1.57967,,,,,7116.03577,1031338.3,2209.1943,320182.01857,2406.60043,144.93158,539.52583,-0.79,23.37528,50.54329,-27.16801,,,,,,,,,,,,,,,,,,214,1163,1560,842.9
Armenia,2001,29743,3211815,107.98558,402129,374203,1012293,1110906,126969,185315,47.99128,52.00872,76.32,70.04,16.28,13.57,1.24,27.58226,22.4,,,,,,,47.17254,,54.22305,54.22305,58.61108,,23.93956,64.27015,72.79855,24.66577,4.51475,,3.05344,,20.57143,,-0.99949,38.4,65.6,65.0488,79.73917,7973.75496,1175876.8,2482.64368,366111.46398,2602.70749,147.46839,555.07826,3.14507,25.46839,46.14881,-20.68041,,,,,,,,,,,,,,,,,,237,1258,1560,842.9
Armenia,2002,29743,3199768,107.58054,391692,363527,1014167,1111541,129781,189060,47.99223,52.00777,75.62,69.72,15.27,12.6,1.21,27.64135,22.4,,,,,,,49.72986,,59.31439,59.31439,57.70085,45.49503,,,,,,,3.05344,,,,-12.535,35.3,66.7,,,9163.74629,1362471.7,2863.89446,425805.67232,2837.31003,148.68064,573.35333,1.06031,29.35655,46.58687,-17.23032,,,,,,,,,,,,,,,,,,235,1213,1560,
Armenia,2003,29743,3182540,107.00131,376159,347207,1017106,1112830,134219,195019,47.99575,52.00425,75.93,70.03,15.37,12.68,1.35,28.74799,22.4,,,,,,,49.53749,,57.87763,57.87763,59.74529,45.27641,,,,,,,,2.77778,,,0.10953,31.2,60,,,10658.79616,1624642.7,3349.18968,510492.60016,3131.18143,152.42272,578.76295,4.7195,32.15265,50.035,-17.88236,,,,,,,,,,,,,,,,,,252,1294,1561,
Armenia,2004,29743,3164935,106.40941,362198,332156,1019255,1113672,137784,199870,48.00215,51.99785,,,,,1.38,28.94451,22.5,,,,,,,48.24906,,46.55599,46.55599,59.39727,44.29319,,,,,,,4.58015,2.77778,11.04972,,-2.33967,31.6,57.6,,,12098.30916,1907945.4,3822.65132,602845.39796,3541.63714,157.70348,533.45083,6.95812,29.73483,45.30238,-15.56755,,,,,,,,,,,,,,,,,,259,1492,,
Armenia,2005,29743,3146412,105.78664,347248,316361,1022453,1115723,140699,203928,48.00389,51.99611,,,,,1.37,25.87085,22.7,,,,,,,47.64175,,42.48805,42.48805,58.07026,46.56123,,,,,,,5.34351,2.77778,18.78453,,1.49087,31.2,54.6,,,14219.08202,2242880.9,4519.15904,712840.35723,3888.69059,157.73739,457.68694,0.64132,28.80922,43.22971,-14.42048,,,,,,,,,,,,,,,,,,310,1774,1561,
Armenia,2006,29743,3127109,105.13765,332125,300372,1026620,1119645,142186,206161,47.9974,52.0026,76,69.7,15.6,12.9,1.35,24.33964,22.9,,,,,,,47.64243,,40.77175,40.77175,57.73292,46.06574,,,,,,5.88235,5.34351,2.77778,21.22905,,-0.49249,27.8,55.9,,,16590.2203,2656189.8,5305.30533,849409.93253,4368.43299,160.10576,416.04037,2.89047,23.35899,39.25021,-15.89122,,,,,,,,,,,,,,,,,,332,2089,,
Armenia,2007,29743,3107396,104.47487,320253,287605,1029856,1123837,141173,204672,47.99137,52.00863,76.8,70.3,15.8,13.1,1.42,24.44793,23,,,,,,,49.47465,53.68445,40.8022,40.8022,57.61808,45.61651,,,,,,6.66667,9.23077,2.77778,21.78771,,0.83625,28.7,57.6,67.49199,75.32121,19373.47046,3149283.4,6234.72427,1013494.90724,5100.26475,162.55649,342.07912,4.41381,19.18564,39.15081,-19.96517,,,,,,,,,,,,,,,,,,371,2720,,
Armenia,2008,29743,3087119,103.79313,312574,278759,1031701,1127648,137133,199304,47.98675,52.01325,76.7,70.2,16,13.1,1.44,24.7097,23.1,,,,,,,46.75362,55.67739,41.76578,41.76578,56.81489,48.22438,,,,,,6.25,9.16031,2.77778,21.2963,,1.45553,16.4,40.4328,54.66466,68.64314,21116.49456,3568227.6,6840.34744,1155869.7138,5595.34827,168.97822,305.9694,8.9501,15.0471,40.65576,-25.60866,,,,18.06302,14.48764,28.06246,21.29019,8.0465,8.95222,1.09797,,,,,,,,407,3125,1686,
Armenia,2009,29743,3066045,103.08459,308482,273687,1031060,1129531,131579,191706,47.98106,52.01894,76.7,70.5,16,13.3,1.55,26.46353,23,,,,,,,47.09217,56.78303,39.1575,39.1575,56.57896,46.93907,,,,,,11.11111,8.39695,,21.2963,,-2.51898,18.7,40.8797,55.39635,68.49834,18266.18139,3141650,5957.65864,1024673.84214,5582.79995,171.99271,363.28329,3.40825,15.47447,43.00441,-27.52994,,,,18.55192,14.87512,20.43713,23.09479,9.57403,11.98928,1.47773,,,,,,,,325,2753,,
Armenia,2010,29743,3044868,102.37259,306239,270489,1027789,1128881,126745,184725,47.97492,52.02508,77.2,70.6,,,1.56,27.12345,23.3,,,,,,,46.88723,58.12156,35.94027,35.94027,55.89481,48.23117,,,,,,11.11111,9.16031,,22.42991,,1.41183,19,38.85066,57.4398,71.74537,18896.03061,3460200,6205.89869,1136410.66062,5899.83267,183.11782,373.66047,8.1812,20.83011,45.31723,-24.48712,,,,18.76069,17.15066,19.12078,22.93057,8.93526,11.45969,1.64235,38.5959,10.18479,7.2399,16.79183,3.66214,19.82111,3.70433,,,,
Armenia,2011,29743,3027938,101.80338,304246,266663,1022409,1122876,125933,185811,47.97284,52.02716,77.5,70.7,,,1.5,26.80999,23.5,,,,,,,,59.66467,35.26589,35.26589,55.95679,45.31305,,,,,,11.11111,9.16031,5.12821,21.32701,,-0.85218,18.4,39.22603,58.67077,67.73219,20192.6522,3777950,6668.75351,1247692.3331,6441.78501,187.09528,372.50088,7.65167,23.75683,47.35396,-23.59713,,,,22.18149,18.71294,14.18572,21.85157,9.69137,11.59156,1.78535,38.92435,10.96077,5.73568,16.14331,3.47204,20.64505,4.1188,327,3354,,
Armenia,2012,29743,3024127,101.67525,304175,265127,1018938,1117599,127447,190841,47.96624,52.03376,77.81,71.31,16.98,14.29,1.56,25.98576,23.8,,,,,,,,60.21034,35.63218,35.63218,54.79075,46.98106,,,,,,11.11111,10.68702,5,21.86047,,-0.19573,17.3,35.35611,58.5541,66.80485,22045.23758,4266460.5,7289.7302,1410796.58747,7149.34406,193.53207,401.76398,2.55763,27.56672,48.40002,-20.8333,,,,19.58982,17.58816,12.84435,21.2202,15.46106,11.10017,2.19623,37.27831,11.80082,5.89188,17.37722,2.93315,20.29332,4.42531,306,3702,,
Armenia,2013,29743,3021979,101.60303,306255,266905,1013736,1114960,127581,192542,47.90146,52.09854,77.9,71.5,,,1.57,22.71574,24.1,66,68,56,57,43,51,48.90655,61.95168,,34.40095,55.29542,50.99426,,,,,,11.11111,10.68702,6.52174,23.63636,,-0.76739,16.2,35.92388,57.56126,65.78478,23143.94734,4555638.2,7658.48688,1507491.1317,7589.99009,196.83929,409.62575,5.78854,28.35913,48.19707,-19.83794,,,,20.2817,17.87594,11.50903,20.86762,15.41256,11.79594,2.25721,36.27224,11.33454,5.68016,17.84824,3.77245,20.44341,4.64896,,,,
Armenia,2014,29743,3013839,101.32935,309202,269915,1004384,1108396,127737,194205,47.82349,52.17651,78.27,71.85,17.11,14.32,1.65,23.35567,24.3,72,74,66,68,52,61,49.11919,63.41148,,34.06645,55.35217,53.66981,32.38612,55.67167,68.97977,18.28389,3.65598,11.11111,10.68702,6.52174,23.68421,,-2.6026,17.6,37.24958,58.18399,66.15627,24274.44148,4828626.3,8054.29649,1602145.52815,7863.65444,198.91812,415.91979,2.98384,28.56514,47.04655,-18.48141,,,,19.91286,17.6039,10.24069,21.27245,16.08993,12.10893,2.77124,34.82102,11.55938,5.16955,18.45899,3.80461,21.6831,4.50334,,,,
Armenia,2015,29743,3004588,101.01832,312396,273325,992744,1100393,128955,196775,47.73017,52.26983,,,,,,,,76,80.5,71.3,72,56.6,67.7,48.13793,62.5792,,33.4706,56.29228,53.31086,29.07053,57.5238,69.96539,20.38084,4.22734,16.66667,10.68702,7.5,24.88479,,-5.37365,18.5,32.51939,54.69846,64.76665,25251.93179,5032089,8387.67415,1671457.18461,7650.28362,199.27541,477.91831,3.73154,29.82437,41.38971,-11.56535,,,,18.95029,17.82831,10.39365,19.69539,16.07368,12.5793,4.47939,35.32811,11.25093,4.65138,18.13013,3.65399,23.29418,3.69128,,,,
Armenia,2016,29743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68702,,,,,,,,,,,,,,,480.48815,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2000,83858,8011566,95.53729,699624,665841,2709172,2701087.5,465921.5,769920,48.36405,51.63595,81.2,75.2,19.6,16,1.36,13.74007,26.38,,,,,,,43.99565,85.63881,,20,50.36294,,28.44236,50.26207,67.36762,8.78824,17.59437,33.33333,26.77596,,33.25753,,0.94755,3.9,6.3,62.43041,79.07951,236871.92239,213196.1,29566.23014,26611.0263,21592.00821,0.90005,1.08516,2.3952,43.42973,42.04406,1.38567,99.27617,91.5671,91.45319,1.84948,24.10581,7.53786,26.16699,20.20082,17.4424,2.69664,6.2016,18.80792,7.64099,29.91495,12.31162,20.85426,4.26919,976,54929,1633,5563
Austria,2001,83858,8042293,95.90371,693045,659431,2727831,2718369,473043,770574,48.41802,51.58198,81.7,75.6,20,16.3,1.33,13.73481,26.53,,,,,,,44.25574,86.0549,,20,51.08509,,30.055,51.34059,68.32747,8.6477,18.6699,33.33333,26.77596,,33.97101,48.17073,0.71983,4,6,62.16227,77.93738,240115.57629,220095.7,29856.61749,27367.29215,21812.78102,0.91662,1.11728,2.66488,44.69283,42.94577,1.74706,98.76459,93.76301,92.41621,1.87463,24.34319,7.14074,26.39614,20.21959,17.35707,2.66864,6.1253,18.7298,7.31626,30.08069,12.79824,20.6373,4.31295,958,56265,1645,5980
Austria,2002,83858,8081956.5,96.37669,688180.5,654350.5,2750315.5,2739261.5,479670.5,770178,48.48042,51.51958,81.7,75.8,19.8,16.3,1.39,13.8154,26.74,76,78,61,51,22,10,45.04953,85.33123,,,52.99258,20.70936,29.23894,51.10109,70.29429,8.13565,18.44147,25,26.77596,,35.07246,51.11111,-0.09568,4.4,7.2,62.92572,76.33306,252654.57184,226302.7,31260.92805,28000.41326,22622.50257,0.8957,1.06163,1.7996,45.30923,41.65067,3.65855,97.22441,93.07262,94.8295,1.75751,23.60698,7.00919,26.8883,20.67315,17.3409,2.72396,6.02111,18.33608,7.123,30.26427,13.04622,20.86527,4.34406,956,56684,1645,5642
Austria,2003,83858,8121423,96.84733,684033.5,650530.5,2770473.5,2760696.5,486592.5,769096.5,48.5272,51.4728,81.5,75.9,19.7,16.4,1.38,13.15602,26.93,85,85,70,63,28,14,44.75885,85.77382,,17,53.33115,,27.39071,51.66667,68.72381,8.5773,17.77251,25,33.87978,,36.06936,42,0.65187,4.8,7.5,63.30649,77.79898,261529.64805,230999.2,32215.02763,28454.30973,23575.49908,0.88326,0.8858,1.35553,44.58033,41.91175,2.66858,94.71006,94.78582,95.43165,1.677,23.34206,7.31709,26.59865,20.86488,17.46741,2.73291,5.96713,18.134,7.07056,30.13161,13.35914,20.96118,4.37691,931,56878,1670,
Austria,2004,83858,8171966,97.45005,679939.5,646496,2784768.5,2776340,504025,780397,48.56522,51.43478,82.1,76.4,20.2,16.8,1.42,13.68596,27.03,89,82,73,66,34,19,45.52434,86.72959,34.56548,18,53.65738,23.62952,26.28362,44.06639,67.99209,8.11983,13.49312,41.66667,33.87978,,38.72664,46.42857,0.62531,5.5,12.1,62.44552,74.30061,276218.16551,241505,33811.15052,29562.0018,24641.40634,0.87433,0.80512,2.06135,46.9163,44.01805,2.89824,102.62048,97.93144,97.73532,1.66623,23.34576,7.25558,26.31034,21.34103,17.30108,2.77997,5.7519,17.87321,6.97229,30.22203,13.63843,21.05582,4.48659,878,55857,1677,
Austria,2005,83858,8227828.5,98.1162,675649.5,642165.5,2793440,2783807.5,530515.5,802250.5,48.6107,51.3893,82.2,76.6,20.3,17,1.41,12.84083,27.2562,91,90,77,70,34,18,45.51109,84.11342,34.07796,18,53.82023,,26.80561,45.5918,70.37588,7.54386,12.586,50,33.87978,,40.25746,44.15584,1.1893,5.6,11,64.47285,76.59373,285433.39155,253009.3,34701.96656,30759.96197,25443.68505,0.8864,0.80461,2.30438,48.63078,45.53121,3.09957,100,100,100,1.42328,23.31531,7.04805,26.43591,21.98341,16.98913,2.80491,5.60918,17.66391,6.87769,29.9644,14.0778,21.29495,4.51207,768,53234,1677,
Austria,2006,83858,8268641,98.60289,668375,635577.5,2798367.5,2788228,555460.5,822632.5,48.64406,51.35594,82.8,77.1,20.7,17.3,1.41,11.94879,27.47974,92,93,82,74,42,24,45.67699,83.69998,34.23087,25.5,53.69288,25.2858,27.90611,44.57143,70.13659,7.9061,13.79722,50,33.87978,,44.22843,35.80247,1.74324,5.3,9.8,65.56853,77.39155,311117.07841,266478,37629.28881,32230.23845,27354.68463,0.85652,0.7971,1.45056,50.83163,47.39862,3.433,98.72922,104.13923,103.44157,1.47011,23.70184,6.78803,26.3173,22.18318,16.82344,2.71609,5.34892,17.36456,6.81338,29.90541,14.45364,21.66968,4.44466,730,51930,1678,
Austria,2007,83858,8295486.5,98.92302,658918,627341,2802985.5,2794929.5,574372,836940.5,48.65628,51.34372,83.1,77.4,21,17.5,1.38,11.19646,27.7,94,92,86,80,51,32,45.72128,82.48239,36.72818,25.5,53.29206,26.44523,26.15894,45.26181,69.23688,7.21611,13.71591,35.71429,32.24044,,45.47619,38.33333,1.83541,4.9,9.4,66.65642,78.51271,325467.80387,282346.9,39235.72623,34037.4241,27863.39675,0.86751,0.73063,2.16901,52.48515,48.3337,4.15145,107.96756,109.55685,106.44453,1.59959,23.90439,6.92119,26.06887,22.35839,16.44118,2.70638,5.19521,17.40389,6.92404,29.72893,14.82473,21.45801,4.46546,691,53211,1696,6256
Austria,2008,83858,8321496,99.23318,650000,619185.5,2810383,2805376,589329,847222.5,48.66567,51.33433,83.3,77.7,21.1,17.7,1.42,11.249,27.8,95,95,91,82,56,34,45.96625,81.1534,35.30898,25.1,53.24031,,28.12615,45.53437,70.89483,7.28912,11.69541,30.76923,32.78689,,45.16317,33.33333,1.90896,4.1,8.5,67.41342,78.61206,342442.76206,291930.4,41151.36886,35081.29505,29357.39397,0.85249,0.6833,3.21612,53.15493,48.97013,4.1848,115.35824,109.29461,109.05121,1.51489,23.15818,6.97167,26.20747,22.60677,16.79108,2.74994,5.02675,17.25146,6.98576,29.53681,15.10175,21.61225,4.48522,679,50521,1696,
Austria,2009,83858,8343323,99.49347,641912,611252,2815873.5,2813054.5,603782.5,857448.5,48.68046,51.31954,83.2,77.6,21.2,17.6,1.39,10.38562,28,99,98,89,82,51,33,46.31994,80.85624,36.74446,24.3,53.08747,28.44071,27.33759,45.90547,71.51284,7.24554,13.10023,35.71429,27.86885,,45.80908,36.24161,-0.43151,5.3,10.7,68.29231,78.51205,338909.09952,286188.4,40629.37267,34309.06746,30207.94207,0.84444,0.7196,0.50567,44.89584,41.91117,2.98468,107.49408,96.62202,107.90949,1.29772,22.06309,6.85407,26.43767,22.50939,17.93795,2.90011,4.95179,16.70354,7.04108,29.47108,15.0405,22.16777,4.62448,633,49158,1696,
